timestamp,cpu_usage,memory_usage,http_uptime
2025-11-06T02:14:17,0.0003843270361737702,150835200.0,1.0
2025-11-06T02:14:27,0.00040200598679312663,150835200.0,1.0
2025-11-06T02:14:37,0.00039637139310801117,150835200.0,1.0
2025-11-06T02:14:47,0.12045894368538362,150859776.0,1.0
2025-11-06T02:14:57,0.5119839039548798,150878208.0,1.0
2025-11-06T02:15:07,0.8922375455070202,150910976.0,0.8
2025-11-06T02:15:17,1.27495002081909,150925312.0,0.6
2025-11-06T02:15:27,1.6693143458558344,150927360.0,0.5
2025-11-06T02:15:37,1.8788431638736944,151277568.0,0.4
2025-11-06T02:15:47,1.8818268275596821,151312384.0,0.2
2025-11-06T02:15:57,1.8829850207785401,151334912.0,0.2
2025-11-06T02:16:07,1.88477879259867,151367680.0,0.2
2025-11-06T02:16:17,1.881728647757603,151361536.0,0.3333333333333333
2025-11-06T02:16:27,1.8905487620487844,151451648.0,0.2
2025-11-06T02:16:37,1.8943452134208183,151537664.0,0.2
2025-11-06T02:16:47,1.8867683366234844,151570432.0,0.2
2025-11-06T02:16:57,1.8870104749243555,151611392.0,0.3333333333333333
2025-11-06T02:17:07,1.7952119538976488,151592960.0,0.5
2025-11-06T02:17:17,1.4247900661340998,151590912.0,0.5
2025-11-06T02:17:27,1.0695860026062576,151586816.0,0.6666666666666666
2025-11-06T02:17:37,0.6743943588107315,151584768.0,0.8333333333333334
2025-11-06T02:17:47,0.28567753716622074,151582720.0,1.0
2025-11-06T02:17:57,0.0003958199489984902,151582720.0,1.0
2025-11-06T02:18:07,0.0004142253602988393,151578624.0,1.0
2025-11-06T02:18:17,0.00040605446832711595,151578624.0,1.0
2025-11-06T02:18:27,0.0004041688663081824,151578624.0,1.0
2025-11-06T02:18:37,0.00038199806532280515,151578624.0,1.0
