timestamp,cpu_usage,memory_usage,http_uptime
2025-11-11T14:43:30,2.081877567461584,597.44140625,1.0
2025-11-11T14:43:40,2.0396964064218164,601.37109375,1.0
2025-11-11T14:43:50,2.1650790269085514,608.23828125,1.0
2025-11-11T14:44:00,1.971178260146017,608.2421875,1.0
2025-11-11T14:44:10,2.1786895272233915,608.80078125,1.0
2025-11-11T14:44:20,11.85025859727551,606.7421875,0.9128787878787878
2025-11-11T14:44:30,73.87255967466928,613.1171875,0.75
2025-11-11T14:44:40,95.79566947340838,611.44140625,0.5833333333333334
2025-11-11T14:44:50,74.93133807061272,612.33203125,0.4166666666666667
2025-11-11T14:45:00,90.246701363533,616.6875,0.303030303030303
2025-11-11T14:45:10,34.86484621352633,746.47265625,0.3181818181818182
2025-11-11T14:45:20,68.08263123866787,750.06640625,0.36363636363636365
2025-11-11T14:45:30,73.11625618452084,752.26953125,0.5454545454545454
2025-11-11T14:45:40,127.97453893490027,752.13671875,0.7386363636363636
2025-11-11T14:45:50,160.0010617467048,752.21875,0.9128787878787878
2025-11-11T14:46:00,144.6733242626236,752.92578125,1.0
2025-11-11T14:46:10,188.2647270878974,751.27734375,1.0
2025-11-11T14:46:20,177.7572957570513,754.45703125,1.0
2025-11-11T14:46:30,143.3306659401721,746.76171875,1.0
2025-11-11T14:46:40,110.30727697270648,746.546875,1.0
2025-11-11T14:46:50,47.30374486959271,750.54296875,1.0
2025-11-11T14:47:00,2.32368628657689,752.00390625,1.0
2025-11-11T14:47:10,2.0048563653030973,752.26171875,1.0
2025-11-11T14:47:20,2.14328064622373,750.87109375,1.0
2025-11-11T14:47:30,1.8155345836814711,751.92578125,1.0
2025-11-11T14:47:40,2.1142898669925048,753.5,1.0
2025-11-11T14:47:50,1.9500461302157164,753.48828125,1.0
2025-11-11T14:48:00,2.1302359531689437,751.18359375,1.0
2025-11-11T14:48:10,2.1233068470802556,751.49609375,1.0
2025-11-11T14:48:20,2.05585320752123,751.73828125,1.0
2025-11-11T14:48:30,1.9158562560783725,753.6875,1.0
2025-11-11T14:48:40,2.1246472814391684,754.61328125,1.0
2025-11-11T14:48:50,2.013760178297631,754.02734375,1.0
2025-11-11T14:49:00,1.9147002489708007,754.03125,1.0
2025-11-11T14:49:10,2.129119991314011,753.31640625,1.0
2025-11-11T14:49:20,2.104662061690284,753.33984375,1.0
2025-11-11T14:49:30,2.1456861690524875,581.3828125,1.0
2025-11-11T14:49:40,2.1428845745554645,577.0859375,1.0
2025-11-11T14:49:50,2.1373627511772346,577.12890625,1.0
2025-11-11T14:50:00,2.0774737767461815,581.06640625,1.0
2025-11-11T14:50:10,2.1140757669436856,580.15625,1.0
2025-11-11T14:50:20,2.00387373450334,580.1953125,1.0
2025-11-11T14:50:30,2.135934289034453,581.0,1.0
2025-11-11T14:50:40,1.9682006227552142,580.78515625,1.0
2025-11-11T14:50:50,1.9697894966161218,580.20703125,1.0
2025-11-11T14:51:01,2.051913066616027,575.9765625,1.0
2025-11-11T14:51:11,1.827357930816273,576.1484375,1.0
2025-11-11T14:51:21,2.1464305499403977,579.8671875,1.0
2025-11-11T14:51:31,2.190148365406647,580.890625,1.0
2025-11-11T14:51:41,1.9145908757353576,580.88671875,1.0
2025-11-11T14:51:51,1.9649621123371912,581.66015625,1.0
2025-11-11T14:52:01,1.9961752539598292,579.390625,1.0
