timestamp,cpu_usage,memory_usage,http_uptime
2025-11-08T17:40:27,0.39023242538047337,9521872896.0,1.0
2025-11-08T17:40:37,0.3807062442900789,9536348160.0,1.0
2025-11-08T17:40:47,0.40914828982503243,9566449664.0,1.0
2025-11-08T17:40:57,0.4000721038623163,9596915712.0,1.0
2025-11-08T17:41:07,0.3989004462213152,9580257280.0,1.0
2025-11-08T17:41:17,0.4110046952125106,9501388800.0,1.0
2025-11-08T17:41:27,0.7089668949566069,10396368896.0,0.9583333333333333
2025-11-08T17:41:37,1.3220308238945078,10931392512.0,0.7840909090909092
2025-11-08T17:41:47,1.7839109225635579,10830737408.0,0.6098484848484849
2025-11-08T17:41:57,2.235353522647202,10849206272.0,0.4356060606060606
2025-11-08T17:42:07,2.609404246241299,10897833984.0,0.26136363636363635
2025-11-08T17:42:17,2.9825597696991344,10861432832.0,0.08712121212121213
2025-11-08T17:42:27,2.9606374473287818,10985345024.0,0.0
2025-11-08T17:42:37,2.959721597280868,10947543040.0,0.0
2025-11-08T17:42:47,3.0098827956166025,10989350912.0,0.0
2025-11-08T17:42:57,2.948863397592167,10983251968.0,0.0
2025-11-08T17:43:07,2.9966179211951087,10973716480.0,0.0
2025-11-08T17:43:17,2.948039645716543,10969821184.0,0.0
2025-11-08T17:43:28,2.883606014401355,10997485568.0,0.0
2025-11-08T17:43:38,2.8949390160653814,9812500480.0,0.0
2025-11-08T17:43:48,2.898369475142774,9796366336.0,0.0
2025-11-08T17:43:58,3.2301360169984132,10877022208.0,0.0
